ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime,PartialURL
1,No One Lives,R,5/9/2013 0:00,"David Cohen, David Lawrence Cohen",Ryuhei Kitamura,"Horror, Mystery & Suspense",0,86 minutes,no_one_lives
2,All Sinners Night,NR,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,Horror,0,90 minutes,all_sinners_night
3,Down And Dangerous,NR,2/13/2014 0:00,Zak Forsman,Zak Forsman,"Drama, Mystery & Suspense",0,95 minutes,down_and_dangerous
4,Becoming Redwood,R,"Dec 31,9999",Jesse James Miller,Jesse James Miller,"Comedy, Drama",0,98 minutes,becoming_redwood
5,Ghost of Goodnight Lane,NR,6/9/2014 0:00,"Alin Bijan, Amy Acosta",Alin Bijan,"Drama, Horror, Science Fiction & Fantasy",0,96 minutes,ghost_of_goodnight_lane
6,The Iron Ministry,NR,8/20/2015 0:00,J.P. Sniadecki,J.P. Sniadecki,Documentary,0,82 minutes,the_iron_ministry
7,A Covenant with Death,NR,"Dec 31,9999","Lawrence B. Marcus, Saul Levitt",Lamont Johnson,"Drama, Mystery & Suspense",0,97 minutes,a-covenant-with-death
8,Swordsman Of Siena (La congiura dei dieci),NR,"Dec 31,9999",NOT_AVAILABLE,"Etienne Périer, Baccio Bandini","Action & Adventure, Art House & International, Romance",0,97 minutes,swordsman_of_siena
9,Nobody Gets Out Alive,R,"Dec 31,9999",Jason Christopher,Jason Christopher,"Horror, Mystery & Suspense",0,78 minutes,nobody_gets_out_alive
10,Chef,R,5/8/2014 0:00,Jon Favreau,Jon Favreau,Comedy,0,115 minutes,chef_2014
11,Nicky Deuce,NR,5/26/2013 0:00,"Frank Lombardi, Matt Fleckenstein, Andy Callahan, Art Brown","Jonathan Rosenbaum, Jonathan A. Rosenbaum, Jon Rosenbaum","Drama, Kids & Family, Television",0,67 minutes,nicky_deuce_2013
12,Perfect Sisters,NR,4/10/2014 0:00,"Fab Filippo, Adam Till",Stanley M. Brooks,"Drama, Horror, Mystery & Suspense",0,101 minutes,perfect_sisters
13,Deliverance From Evil,NR,"Dec 31,9999","Eduardo Quiroz, Jose ""Duke"" Quiroz","Eduardo Quiroz, Jose ""Duke"" Quiroz",Horror,0,90 minutes,deliverance_from_evil_2014
14,"Mama, I Want to Sing!",PG,11/1/2009 0:00,"Charles Randolph-Wright, Simon Anthony","Charles Randolph-Wright, Simon Anthony","Drama, Kids & Family, Musical & Performing Arts",0,96 minutes,mama_i_want_to_sing
15,Undrafted,NR,7/14/2016 0:00,Joseph Mazzello,Joseph Mazzello,"Comedy, Drama, Kids & Family",0,100 minutes,undrafted_2016
16,Purification,R,"Dec 31,9999",Joseph Ciminera,"Joe Ciminera, Joseph Ciminera","Horror, Mystery & Suspense",0,83 minutes,purification
17,A Novel Romance,NR,11/10/2011 0:00,Allie Dvorin,Allie Dvorin,"Comedy, Drama, Romance",0,92 minutes,a_novel_romance
18,The Swirl,NR,5/26/2014 0:00,NOT_AVAILABLE,Tabari Sturdivant,Documentary,0,45 minutes,the_swirl
19,The Dictator,R,5/15/2012 0:00,"Sacha Baron Cohen, Jeff Schaffer, Alec Berg, David Mandel",Larry Charles,Comedy,"$57,700,000.00 ",83 minutes,the_dictator_2012
20,Curveball,NR,"Dec 31,9999","Linton ""Buddy"" Barnett III, Linton ""Buddy"" Barnett III","Brandon Thaxton, Brandon ""2Mill"" Thaxton",Drama,0,110 minutes,curveball
21,Hope for Love,NR,"Dec 31,9999",Don Macnab-Stark,NOT_AVAILABLE,Drama,0,0,hope_for_love_2013
22,The Debt,NR,11/28/2007 0:00,"Assaf Bernstein, Ido Rosenblum",Assaf Bernstein,Mystery & Suspense,0,93 minutes,the-debt
23,Company of Heroes,R,"Dec 31,9999",David Reed,Don Michael Paul,"Action & Adventure, Mystery & Suspense",0,90 minutes,company_of_heroes_2013
24,Casting By,PG,10/31/2013 0:00,NOT_AVAILABLE,Tom Donahue,"Documentary, Special Interest, Television",0,89 minutes,casting_by
25,Barbie & Her Sisters in The Great Puppy Adventure,NR,"Dec 31,9999",Amy Wolfram,Andrew Tan,NOT_AVAILABLE,0,76 minutes,barbie_and_her_sisters_in_the_great_puppy_adventure
26,Frances Ha,R,5/16/2013 0:00,"Noah Baumbach, Greta Gerwig",Noah Baumbach,Comedy,"$3,900,000.00 ",86 minutes,frances_ha_2013
27,The Wolfpack,R,6/11/2015 0:00,NOT_AVAILABLE,Crystal Moselle,Documentary,"$1,300,447.00 ",80 minutes,the_wolfpack
28,The Prosecution of an American President,NR,10/4/2012 0:00,Vincent Bugliosi,"David J. Burke, Dave Hagen","Documentary, Special Interest",0,100 minutes,the_prosecution_of_an_american_president
29,Debug,NR,6/11/2015 0:00,David Hewlett,David Hewlett,"Art House & International, Horror, Science Fiction & Fantasy",0,90 minutes,debug
30,Standoff,R,2/11/2016 0:00,Adam Alleca,Adam Alleca,"Action & Adventure, Drama",0,86 minutes,standoff_2016
31,Goodbye to All That,NR,12/16/2014 0:00,Angus MacLachlan,Angus MacLachlan,"Comedy, Drama",0,87 minutes,goodbye_to_all_that
32,The Craigslist Killer,NR,1/2/2011 0:00,"Stephen Tolkin, Donald Martin, Michele McPhee",Stephen Kay,"Drama, Mystery & Suspense",0,87 minutes,the_craigslist_killer
33,Holiday Engagement (A Holiday Engagement),G,11/27/2011 0:00,"Jim Fall, Barbara Kymlicka",Jim Fall,Comedy,0,90 minutes,a_holiday_engagement
34,Bad Turn Worse,NR,11/13/2014 0:00,Dutch Southern,"Zeke Hawkins, Simon Hawkins",Drama,0,91 minutes,bad_turn_worse
35,Barney: This Is How I Feel,NR,"Dec 31,9999","Karl Geurs, Carter Crocker, Cheryl Ammeter","Fred Holmes, Jim Rowley",NOT_AVAILABLE,0,67 minutes,barney_this_is_how_i_feel_2014
36,Selma,PG-13,1/8/2015 0:00,Paul Webb,Ava DuVernay,Drama,0,127 minutes,selma
37,Amphibious: Creature Of The Deep,R,"Dec 31,9999",NOT_AVAILABLE,Brian Yuzna,Horror,0,90 minutes,amphibious_creature_of_the_deep
38,Down By The River,NR,"Dec 31,9999",Sean Johnson,William Leonard Molina,Drama,0,76 minutes,down_by_the_river_2012
39,Mourning Wood,NR,"Dec 31,9999",NOT_AVAILABLE,Ryan Convery,Comedy,0,79 minutes,mourning_wood
40,The Tell-Tale Heart,NR,"Dec 31,9999",John LaTier,John LaTier,Drama,0,0,the_tell_tale_heart_2016
41,Love Free or Die,NR,"Dec 31,9999",NOT_AVAILABLE,Macky Alston,"Documentary, Special Interest, Faith & Spirituality",0,82 minutes,love_free_or_die
42,American Joyride,NR,1/24/2012 0:00,"Katherine Randolph, Alex Petrovitch, Alex Petrovich","Katherine Randolph, Alex Petrovitch, Alex Petrovich","Action & Adventure, Comedy, Drama",0,95 minutes,american_joyride_2012
43,May In The Summer,R,8/21/2014 0:00,Cherien Dabis,Cherien Dabis,"Art House & International, Comedy, Drama",0,99 minutes,may_in_the_summer
44,The Time Being,NR,7/25/2013 0:00,"Richard N. Gladstein, Nenad Cicin-Sain",Nenad Cicin-Sain,"Drama, Mystery & Suspense",0,88 minutes,the_time_being
45,The Town Inside,NR,"Dec 31,9999",Bryan Hunt,NOT_AVAILABLE,Drama,0,120 minutes,the_town_inside
46,The Wednesday Morning Breakfast Club,NR,"Dec 31,9999",Amanda Barber,Justin Barber,"Comedy, Drama",0,49 minutes,the_wednesday_morning_breakfast_club
47,Someone to Love (And Then There Was You),NR,"Dec 31,9999",Leila Djansi,Leila Djansi,"Drama, Romance",0,99 minutes,someone_to_love_2014
48,Enter Nowhere,R,10/21/2011 0:00,"Shawn Christensen, Jason Dolan",Jack Heller,"Drama, Horror, Mystery & Suspense",0,89 minutes,enter_nowhere_2012
49,Herschell Gordon Lewis: The Godfather of Gore,NR,"Dec 31,9999",NOT_AVAILABLE,"Frank Henenlotter, Jimmy Maslon","Documentary, Television, Sports & Fitness",0,60 minutes,herschell_gordon_lewis_the_godfather_of_gore_2011
50,Pet Pals,NR,"Dec 31,9999","Francesco Manfio, Sergio Manfio, Anna Manfio","Francesco Manfio, Sergio Manfio","Animation, Kids & Family, Musical & Performing Arts, Special Interest",0,99 minutes,pet_pals_2010
51,Skull Forest,NR,"Dec 31,9999",Len Kabasinski,Len Kabasinski,Horror,0,75 minutes,skull_forest_2012
52,Topkapi,NR,"Dec 31,9999",Monja Danischewsky,Jules Dassin,"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense",0,122 minutes,topkapi
53,Kink Crusaders,NR,"Dec 31,9999",NOT_AVAILABLE,Mike Skiff,"Documentary, Special Interest",0,74 minutes,kink_crusaders
54,Perfect Sense,R,2/2/2012 0:00,Kim Fupz Aakeson,David Mackenzie,"Drama, Mystery & Suspense, Romance","$1,567.00 ",88 minutes,perfect_sense
55,As Night Comes,R,11/13/2014 0:00,"Richard Zelniker, Ryan Koehn",Richard Zelniker,"Drama, Mystery & Suspense",0,115 minutes,as_night_comes
56,Paddington,PG,1/15/2015 0:00,"Hamish McColl, Paul King",Paul King,"Comedy, Kids & Family",0,96 minutes,paddington_2014
57,How to Survive a Plague,NR,9/20/2012 0:00,"T. Woody Richman, David France, Tyler Walk",David France,"Documentary, Special Interest","$122,665.00 ",109 minutes,how_to_survive_a_plague
58,Vinyl,NR,"Dec 31,9999","Sara Sugarman, Jim Cooper",Sara Sugarman,Comedy,0,85 minutes,vinyl_2012
59,The Giant King,PG,"Dec 31,9999",NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,104 minutes,the_giant_king
60,Seymour: An Introduction,PG,3/12/2015 0:00,NOT_AVAILABLE,Ethan Hawke,Documentary,"$723,701.00 ",84 minutes,seymour_an_introduction
61,The Pleasures Of Being Out Of Step,NR,6/24/2014 0:00,NOT_AVAILABLE,David L. Lewis,"Documentary, Musical & Performing Arts","$11,813.00 ",86 minutes,the_pleasures_of_being_out_of_step
62,Convergence,NR,"Dec 31,9999",Drew Hall,Drew Hall,"Action & Adventure, Mystery & Suspense",0,100 minutes,
63,Man of Steel,PG-13,6/13/2013 0:00,"Christopher Nolan, David S. Goyer, Kurt Johnstad",Zack Snyder,"Action & Adventure, Science Fiction & Fantasy","$291,021,565.00 ",143 minutes,superman_man_of_steel
64,Gravity,PG-13,10/3/2013 0:00,"Alfonso Cuarón, Jonás Cuarón",Alfonso Cuarón,"Drama, Science Fiction & Fantasy","$274,084,951.00 ",91 minutes,gravity_2013
65,Reincarnation,NR,3/2/2007 0:00,NOT_AVAILABLE,Natasha Guruleva,Documentary,0,0,
66,"Chu zi Xi zi Pi zi (The Chef, the Actor, the Scoundrel)",NR,"Dec 31,9999",NOT_AVAILABLE,Hu Guan,Comedy,0,108 minutes,chu_zi_xi_zi_pi_zi
67,Storming Juno,NR,"Dec 31,9999",NOT_AVAILABLE,Tim Wolochatiuk,"Art House & International, Drama, Special Interest, Television",0,88 minutes,storming_juno_2013
68,I Love New Year,NR,4/25/2013 0:00,"Radhika Rao, Vinay Sapru",Radhika Rao,Romance,0,0,i_love_new_year
69,Axe To Grind,NR,"Dec 31,9999","Scott C. Sanford, Scott C. Sanford",Matt Zettell,Horror,0,0,axe_to_grind
70,Starred Up,NR,8/26/2014 0:00,Jonathan Asser,David Mackenzie,Drama,0,106 minutes,starred_up
71,Into The Lion's Den,NR,"Dec 31,9999",Philip Malaczewski,"Dan J. Lantz, Dan Lantz","Drama, Mystery & Suspense",0,82 minutes,into_the_lions_den_2011
72,"Fanny, Annie & Danny",NR,12/8/2011 0:00,Chris Brown,Chris Brown,"Drama, Kids & Family",0,82 minutes,fanny_annie_and_danny
73,The Night Before the Night Before Christmas,NR,"Dec 31,9999","James Orr, Rob Lee, Jim Cruickshank, James Cruikshank",James Orr,"Comedy, Kids & Family, Science Fiction & Fantasy",0,88 minutes,the_night_before_the_night_before_christmas
74,Exit 14,NR,"Dec 31,9999",Camara Davis,Joe Salcedo,Horror,0,76 minutes,exit_14_2016
