ID,Title,Rating,ReleaseDate,Writers,Directors,Genre,Revenue,Runtime
1.0,Grown Ups 2,PG-13,7/11/2013 0:00,"Fred Wolf, Adam Sandler, Tim Herlihy, Fred Wolf (II)",Dennis Dugan,Comedy,"$127,400,000.00 ",101 minutes
2.0,Return to Sender,NR,8/13/2015 0:00,"Joe Gossett, Patricia Beauchamp",Fouad Mikati,Mystery & Suspense,-,105 minutes
3.0,Prisoners,R,9/19/2013 0:00,Aaron Guzikowski,Denis Villeneuve,"Drama, Mystery & Suspense","$60,962,878.00 ",153 minutes
4.0,Still Alice,PG-13,1/15/2015 0:00,"Richard Glatzer, Wash Westmoreland","Richard Glatzer, Wash Westmoreland",Drama,"$41,797,583.00 ",99 minutes
5.0,Devil's Due,R,1/16/2014 0:00,Lindsay Devlin,"Tyler Gillett, Matt Bettinelli-Olpin",Horror,"$36,433,975.00 ",89 minutes
6.0,Now You See Me,PG-13,5/30/2013 0:00,"Edward Ricourt, Boaz Yakin, Ed Solomon",Louis Leterrier,Mystery & Suspense,"$117,698,894.00 ",115 minutes
7.0,The Face of Love,PG-13,3/6/2014 0:00,"Matthew McDuffie, Arie Posin",Arie Posin,"Comedy, Drama, Romance","$350,006.00 ",92 minutes
8.0,Lego Scooby-Doo!: Haunted Hollywood,Digital,5/3/2016 0:00,James Krieg,Rick Morales,Comedy,-,75 minutes
9.0,Standoff,R,2/11/2016 0:00,Adam Alleca,Adam Alleca,"Action & Adventure, Drama",-,86 minutes
10.0,The Huntsman: Winter's War,PG-13,4/21/2016 0:00,"Evan Spiliotopoulos, Craig Mazin",Cedric Nicolas-Troyan,"Action & Adventure, Drama, Science Fiction & Fantasy","$164,602,163.00 ",121 minutes
11.0,Nightcrawler,R,10/30/2014 0:00,Dan Gilroy,Dan Gilroy,"Drama, Mystery & Suspense","$38,697,217.00 ",117 minutes
12.0,Into the Storm,PG-13,8/7/2014 0:00,John Swetnam,Steven Quale,Mystery & Suspense,"$160,602,194.00 ",89 minutes
13.0,Poltergeist,PG-13,5/21/2015 0:00,"David Lindsay-Abaire, Steven Spielberg",Gil Kenan,Horror,"$95,437,994.00 ",1 minutes
14.0,Backtrack,R,2/25/2016 0:00,Michael Petroni,Michael Petroni,Mystery & Suspense,-,90 minutes
15.0,The World's End,R,8/22/2013 0:00,"Edgar Wright, Simon Pegg",Edgar Wright,Comedy,-,109 minutes
16.0,Battlestar Galactica: Blood & Chrome,R,11/9/2012 0:00,"David Eick, Michael Taylor, Bradley Thompson",Jonas Pate,"Action & Adventure, Science Fiction & Fantasy",-,91 minutes
17.0,Her,R,12/17/2013 0:00,Spike Jonze,Spike Jonze,"Drama, Science Fiction & Fantasy, Special Interest, Romance","$47,351,251.00 ",126 minutes
18.0,The Purge: Anarchy,R,7/17/2014 0:00,James DeMonaco,James DeMonaco,Horror,"$108,782,847.00 ",104 minutes
19.0,The Little Death,PG-13,6/25/2015 0:00,"Josh Lawson (II), Josh Lawson","Josh Lawson (II), Josh Lawson",Comedy,-,97 minutes
20.0,The Lobster,R,5/12/2016 0:00,"Efthimis Filippou, Efthymis Filippou, Yorgos Lanthimos",Yorgos Lanthimos,"Comedy, Cult Movies, Drama, Science Fiction & Fantasy","$9,078,073.00 ",118 minutes
21.0,Victor Frankenstein,PG-13,11/24/2015 0:00,"Max Landis, Mary Shelley",Paul McGuigan,Drama,"$75,181.00 ",109 minutes
22.0,After the Dark,R,2/6/2014 0:00,John Huddles,John Huddles,"Drama, Mystery & Suspense, Science Fiction & Fantasy",-,107 minutes
23.0,No Good Deed,PG-13,9/11/2014 0:00,Aimee Lagos,Sam Miller,Mystery & Suspense,"$53,830,415.00 ",84 minutes
24.0,The Skeleton Twins,R,9/11/2014 0:00,"Mark Heyman, Craig Johnson, Craig Johnson (IV)","Rian Johnson, Craig Johnson, Craig Johnson (IV)","Comedy, Drama","$5,284,309.00 ",93 minutes
25.0,All Roads Lead to Rome,PG-13,2/4/2016 0:00,"Josh Appignanesi, Cindy Myers",Ella Lemhagen,"Art House & International, Comedy",-,90 minutes
26.0,Cesar Chavez,PG-13,3/27/2014 0:00,"Keir Pearson, Timothy J. Sexton",Diego Luna,Drama,"$5,550,866.00 ",101 minutes
27.0,Life of Pi,PG,11/20/2012 0:00,David Magee,Ang Lee,"Action & Adventure, Drama","$103,500,000.00 ",127 minutes
28.0,The Grandmaster,PG-13,8/22/2013 0:00,"Haofeng Xu, Kar-Wai Wong, Wong Kar-wai, Jingzhi Zou","Kar-Wai Wong, Wong Kar-wai","Action & Adventure, Art House & International, Drama, Special Interest","$6,300,000.00 ",130 minutes
29.0,Despicable Me 2,PG,7/2/2013 0:00,"Cinco Paul, Ken Daurio","Pierre Coffin, Chris Renaud","Animation, Comedy, Kids & Family","$368,049,635.00 ",98 minutes
30.0,Doomsday Prophecy,PG-13,8/13/2011 0:00,"Shawn Linden, Jason Bourque",Jason Bourque,"Mystery & Suspense, Science Fiction & Fantasy",-,92 minutes
31.0,I Don't Know How She Does It,PG-13,9/15/2011 0:00,Aline Brosh McKenna,Douglas McGrath,Comedy,"$9,500,000.00 ",89 minutes
32.0,Declaration of War,Theatrical,1/26/2012 0:00,"Jérémie Elkaïm, Valérie Donzelli",Valérie Donzelli,"Art House & International, Comedy, Drama, Special Interest","$46,225.00 ",100 minutes
33.0,Halo 4: Forward Unto Dawn,NR,12/3/2012 0:00,"Aaron Helbing, Todd Helbing",Stewart Hendler,"Action & Adventure, Animation, Mystery & Suspense, Science Fiction & Fantasy, Television",-,90 minutes
34.0,Catch .44,R,12/8/2011 0:00,Aaron Harvey,Aaron Harvey,"Action & Adventure, Drama, Western",-,93 minutes
35.0,Transformers: Age of Extinction,PG-13,6/26/2014 0:00,Ehren Kruger,Michael Bay,"Action & Adventure, Science Fiction & Fantasy","$245,500,000.00 ",157 minutes
36.0,Knock Knock,R,10/8/2015 0:00,"Eli Roth, Guillermo Amoedo, Nicolás López",Eli Roth,Mystery & Suspense,"$5,214,043.00 ",99 minutes
37.0,I'm So Excited!,R,6/27/2013 0:00,Pedro Almodóvar,Pedro Almodóvar,Comedy,"$1,367,846.00 ",90 minutes
38.0,31,R,10/20/2016 0:00,Rob Zombie,Rob Zombie,Horror,-,103 minutes
39.0,Blue Jasmine,PG-13,7/25/2013 0:00,Woody Allen,Woody Allen,Comedy,"$97,505,481.00 ",98 minutes
40.0,Deathgasm,NR,10/1/2015 0:00,Jason Lei Howden,Jason Lei Howden,"Art House & International, Comedy, Horror",-,90 minutes
41.0,Draft Day,PG-13,4/10/2014 0:00,"Rajiv Joseph, Scott Rothman",Ivan Reitman,Drama,"$28,831,145.00 ",109 minutes
42.0,Promised Land,R,1/3/2013 0:00,"John Krasinski, Matt Damon",Gus Van Sant,Drama,"$7,600,000.00 ",106 minutes
43.0,Khumba,G,12/5/2013 0:00,"Raffaella Delle Donne, Anthony Silverston, Jonathan Roberts, Camilla Bubna-Kasteliz",Anthony Silverston,"Action & Adventure, Animation, Kids & Family","$27,187,375.00 ",85 minutes
44.0,Nine Miles Down,PG,10/30/2009 0:00,"Everett De Roche, Anthony Waller",Anthony Waller,Mystery & Suspense,-,86 minutes
45.0,Killer Joe,R,7/26/2012 0:00,Tracy Letts,William Friedkin,"Comedy, Mystery & Suspense","$1,800,000.00 ",102 minutes
46.0,Nobody Walks,R,10/18/2012 0:00,"Lena Dunham, Ry Russo-Young",Ry Russo-Young,Drama,"$24,995.00 ",85 minutes
