_id,ltable_ID,rtable_ID,ltable_Title,ltable_ReleaseDate,ltable_Directors,ltable_Runtime,rtable_Title,rtable_ReleaseDate,rtable_Directors,rtable_Runtime,Match
25,3273,2,Cost of a Soul,5/19/11 0:00,Sean Kirkpatrick,90 minutes,Soul Surfer,4/8/11 0:00,Sean McNamara,106 minutes,0
149,2194,4,Grown Ups 2,7/11/13 0:00,Dennis Dugan,101 minutes,Grown Ups 2,7/12/13 0:00,Dennis Dugan,100 minutes,1
185,6478,7,Return to Sender,8/13/15 0:00,Fouad Mikati,105 minutes,Return to Sender,5/31/15 0:00,Fouad Mikati,95 minutes,1
187,1332,8,Prisoners,9/19/13 0:00,Denis Villeneuve,153 minutes,Prisoners,9/21/13 0:00,Denis Villeneuve,153 minutes,1
222,3214,12,Still Alice,1/15/15 0:00,"Wash Westmoreland, Richard Glatzer",99 minutes,Still Alice,12/5/14 0:00,"Wash Westmoreland, Richard Glatzer",99 minutes,1
261,3152,13,Storm Surfers 3D,6/13/13 0:00,"Chris Nelius, Justin McMillan, Christopher Nelius",95 minutes,3-D Sex and Zen: Extreme Ecstasy,4/14/11 0:00,Christopher Sun,118 minutes,0
413,7160,15,Devil's Due,1/16/14 0:00,"Matt Bettinelli-Olpin, Tyler Gillett",89 minutes,Devil's Due,1/17/14 0:00,"Matt Bettinelli-Olpin, Tyler Gillett",89 minutes,1
582,6523,19,Red Line,"Dec 31,9999",Robert Kirbyson,87 minutes,RED,10/14/10 0:00,Robert Schwentke,111 minutes,0
776,516,27,Now You See Me,5/30/13 0:00,Louis Leterrier,115 minutes,Now You See Me,5/31/13 0:00,Louis Leterrier,115 minutes,1
785,6655,29,The Face of Love,3/6/14 0:00,Arie Posin,92 minutes,The Face of Love,3/7/14 0:00,Arie Posin,92 minutes,1
797,583,32,Lego Scooby-Doo!: Haunted Hollywood,"Dec 31,9999",Rick Morales,75 minutes,Lego Scooby-Doo!: Haunted Hollywood,5/3/16 0:00,Rick Morales,75 minutes,1
808,3516,32,LEGO DC Comics Super Heroes: Justice League: Cosmic Clash,2/8/16 0:00,Rick Morales,78 minutes,Lego Scooby-Doo!: Haunted Hollywood,5/3/16 0:00,Rick Morales,75 minutes,0
864,30,34,Standoff,2/11/16 0:00,Adam Alleca,86 minutes,Standoff,1/3/16 0:00,Adam Alleca,86 minutes,1
1285,3640,41,The Huntsman: Winter's War,4/21/16 0:00,Cedric Nicolas-Troyan,121 minutes,The Huntsman: Winter's War,4/22/16 0:00,Cedric Nicolas-Troyan,114 minutes,1
1286,940,42,Nightcrawler,10/30/14 0:00,Dan Gilroy,117 minutes,Nightcrawler,10/31/14 0:00,Dan Gilroy,117 minutes,1
1382,5488,43,Into The Storm,8/7/14 0:00,Steven Quale,89 minutes,Into the Storm,8/8/14 0:00,Steven Quale,89 minutes,1
1583,1100,49,Frank Miller's Sin City: A Dame to Kill For,8/21/14 0:00,"Robert Rodriguez, Frank Miller (II), Frank A Miller, Frank Miller",102 minutes,To Kill a Mockingbird,12/25/62 0:00,Robert Mulligan,129 minutes,0
1662,2281,50,Poltergeist,5/21/15 0:00,Gil Kenan,1 minutes,Poltergeist,5/22/15 0:00,Gil Kenan,93 minutes,1
1711,2077,56,Backtrack,2/25/16 0:00,Michael Petroni,90 minutes,Backtrack,4/18/15 0:00,Michael Petroni,90 minutes,1
1911,1933,57,The Keeper of Lost Causes (Kvinden i buret),6/16/16 0:00,Mikkel Norgaard,97 minutes,The Keeper of Lost Causes,10/10/13 0:00,Mikkel NÂ¿rgaard,100 minutes,0
1913,3970,58,The World's End,8/22/13 0:00,Edgar Wright,109 minutes,The World's End,8/23/13 0:00,Edgar Wright,109 minutes,1
2034,7046,60,Barbie Mariposa and Her Butterfly Fairy Friends,"Dec 31,9999","William Lau, Conrad Helten",79 minutes,Barbie as The Princess & the Pauper,9/28/04 0:00,William Lau,85 minutes,0
